Date : 2022-08-08 06:17:37
Directory : d:\ttlab\qr-code-backend
Total : 251 files,  9335 codes, 812 comments, 1344 blanks, all 11491 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\registered.dto.ts            | TypeScript         |         45 |          0 |          7 |         52 |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\update-profile.dto.ts        | TypeScript         |         60 |          0 |          6 |         66 |
| d:\ttlab\qr-code-backend\src\modules\auth\dto\responses\api-responses.dto.ts        | TypeScript         |         22 |          0 |          8 |         30 |
| d:\ttlab\qr-code-backend\src\modules\auth\entity\user-token.entity.ts               | TypeScript         |         24 |          1 |          7 |         32 |
| d:\ttlab\qr-code-backend\src\modules\auth\services\auth.service.ts                  | TypeScript         |        194 |         21 |         16 |        231 |
| d:\ttlab\qr-code-backend\src\modules\category\category.builder.ts                   | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\modules\category\category.constant.ts                  | TypeScript         |         11 |          0 |          2 |         13 |
| d:\ttlab\qr-code-backend\src\modules\category\category.controller.ts                | TypeScript         |        146 |          0 |         15 |        161 |
| d:\ttlab\qr-code-backend\src\modules\category\category.interface.ts                 | TypeScript         |          0 |          1 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\modules\category\category.module.ts                    | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\category\category.repository.ts                | TypeScript         |         18 |          0 |          3 |         21 |
| d:\ttlab\qr-code-backend\src\modules\category\dto\request\category.request.dto.ts   | TypeScript         |         36 |          0 |         10 |         46 |
| d:\ttlab\qr-code-backend\src\modules\category\dto\response\category.response.dto.ts | TypeScript         |         22 |          0 |          6 |         28 |
| d:\ttlab\qr-code-backend\src\modules\category\entity\category.entity.ts             | TypeScript         |         20 |          0 |          5 |         25 |
| d:\ttlab\qr-code-backend\src\modules\category\services\category.service.ts          | TypeScript         |         39 |          0 |          4 |         43 |
| d:\ttlab\qr-code-backend\src\modules\file\dto\request\file.request.dto.ts           | TypeScript         |          9 |          0 |          5 |         14 |
| d:\ttlab\qr-code-backend\src\modules\file\dto\response\file.response.dto.ts         | TypeScript         |         24 |          0 |          4 |         28 |
| d:\ttlab\qr-code-backend\src\modules\file\entity\file.entity.ts                     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\ttlab\qr-code-backend\src\modules\file\file.builder.ts                           | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\modules\file\file.constant.ts                          | TypeScript         |         11 |          0 |          2 |         13 |
| d:\ttlab\qr-code-backend\src\modules\file\file.controller.ts                        | TypeScript         |        129 |          0 |         15 |        144 |
| d:\ttlab\qr-code-backend\src\modules\file\file.interface.ts                         | TypeScript         |          0 |          1 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\modules\file\file.module.ts                            | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\file\file.repository.ts                        | TypeScript         |         18 |          0 |          3 |         21 |
| d:\ttlab\qr-code-backend\src\modules\file\services\file.service.ts                  | TypeScript         |         26 |          0 |          4 |         30 |
| d:\ttlab\qr-code-backend\src\modules\product\dto\request\product.request.dto.ts     | TypeScript         |        114 |          0 |         34 |        148 |
| d:\ttlab\qr-code-backend\src\modules\product\dto\response\product.response.dto.ts   | TypeScript         |         51 |          0 |          3 |         54 |
| d:\ttlab\qr-code-backend\src\modules\product\entity\product.entity.ts               | TypeScript         |         51 |          0 |         15 |         66 |
| d:\ttlab\qr-code-backend\src\modules\product\product.builder.ts                     | TypeScript         |         35 |          0 |          5 |         40 |
| d:\ttlab\qr-code-backend\src\modules\product\product.constant.ts                    | TypeScript         |         17 |          0 |          3 |         20 |
| d:\ttlab\qr-code-backend\src\modules\product\product.controller.ts                  | TypeScript         |        219 |         21 |         29 |        269 |
| d:\ttlab\qr-code-backend\src\modules\product\product.interface.ts                   | TypeScript         |          0 |          0 |          1 |          1 |
| d:\ttlab\qr-code-backend\src\modules\product\product.module.ts                      | TypeScript         |         20 |          0 |          2 |         22 |
| d:\ttlab\qr-code-backend\src\modules\product\product.repository.ts                  | TypeScript         |         22 |          0 |          4 |         26 |
| d:\ttlab\qr-code-backend\src\modules\product\services\product.service.ts            | TypeScript         |        133 |          0 |         18 |        151 |
| d:\ttlab\qr-code-backend\src\modules\provider\dto\request\provider.request.dto.ts   | TypeScript         |         60 |          0 |         16 |         76 |
| d:\ttlab\qr-code-backend\src\modules\provider\dto\response\provider.response.dto.ts | TypeScript         |         36 |          0 |          4 |         40 |
| d:\ttlab\qr-code-backend\src\modules\provider\entity\provider.entity.ts             | TypeScript         |         48 |          0 |         11 |         59 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.builder.ts                   | TypeScript         |          8 |          0 |          2 |         10 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.constant.ts                  | TypeScript         |         16 |          0 |          3 |         19 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.controller.ts                | TypeScript         |        164 |          0 |         17 |        181 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.interface.ts                 | TypeScript         |          0 |          1 |          1 |          2 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.module.ts                    | TypeScript         |         20 |          0 |          2 |         22 |
| d:\ttlab\qr-code-backend\src\modules\provider\provider.repository.ts                | TypeScript         |         54 |          0 |          6 |         60 |
| d:\ttlab\qr-code-backend\src\modules\provider\services\provider.service.ts          | TypeScript         |         83 |          0 |          8 |         91 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\requests\create-role.dto.ts           | TypeScript         |          4 |          4 |          3 |         11 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\requests\list-role.dto.ts             | TypeScript         |         23 |          0 |          3 |         26 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\requests\update-role.dto.ts           | TypeScript         |          5 |          2 |          3 |         10 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\responses\api-response.dto.ts         | TypeScript         |         15 |          0 |          8 |         23 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\responses\permission-response.dto.ts  | TypeScript         |          3 |          2 |          2 |          7 |
| d:\ttlab\qr-code-backend\src\modules\role\dto\responses\role-response.dto.ts        | TypeScript         |          6 |          0 |          1 |          7 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\permission-action.entity.ts        | TypeScript         |         12 |          0 |          2 |         14 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\permission-resource.entity.ts      | TypeScript         |         12 |          0 |          3 |         15 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\permission.entity.ts               | TypeScript         |         31 |          0 |          7 |         38 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\role-permission.entity.ts          | TypeScript         |         22 |          0 |          6 |         28 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\role.entity.ts                     | TypeScript         |         20 |          0 |          6 |         26 |
| d:\ttlab\qr-code-backend\src\modules\role\entity\user-role.entity.ts                | TypeScript         |         19 |          0 |          5 |         24 |
| d:\ttlab\qr-code-backend\src\modules\role\role.constants.ts                         | TypeScript         |          0 |        156 |          7 |        163 |
| d:\ttlab\qr-code-backend\src\modules\role\role.controller.ts                        | TypeScript         |         15 |          0 |          4 |         19 |
| d:\ttlab\qr-code-backend\src\modules\role\role.interface.ts                         | TypeScript         |          0 |         58 |         16 |         74 |
| d:\ttlab\qr-code-backend\src\modules\role\role.module.ts                            | TypeScript         |          9 |          0 |          2 |         11 |
| d:\ttlab\qr-code-backend\src\modules\role\role.util.ts                              | TypeScript         |          0 |         38 |          3 |         41 |
| d:\ttlab\qr-code-backend\src\modules\role\services\role.service.ts                  | TypeScript         |         12 |          0 |          3 |         15 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\requests\common-user.dto.ts           | TypeScript         |         14 |          0 |          2 |         16 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\requests\create-user.dto.ts           | TypeScript         |         16 |          0 |          7 |         23 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\requests\list-user.dto.ts             | TypeScript         |         30 |          0 |          9 |         39 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\requests\update-user.dto.ts           | TypeScript         |         35 |          0 |          7 |         42 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\response\api-response.dto.ts          | TypeScript         |         20 |          0 |          7 |         27 |
| d:\ttlab\qr-code-backend\src\modules\user\dto\response\user-response.dto.ts         | TypeScript         |         28 |          3 |          4 |         35 |
| d:\ttlab\qr-code-backend\src\modules\user\entity\user.entity.ts                     | TypeScript         |         62 |          0 |         18 |         80 |
| d:\ttlab\qr-code-backend\src\modules\user\services\user.service.ts                  | TypeScript         |        165 |          0 |         15 |        180 |
| d:\ttlab\qr-code-backend\src\modules\user\user.builder.ts                           | TypeScript         |         11 |          0 |          3 |         14 |
| d:\ttlab\qr-code-backend\src\modules\user\user.constant.ts                          | TypeScript         |         87 |          0 |          8 |         95 |
| d:\ttlab\qr-code-backend\src\modules\user\user.controller.ts                        | TypeScript         |        168 |          1 |         21 |        190 |
| d:\ttlab\qr-code-backend\src\modules\user\user.interface.ts                         | TypeScript         |          6 |          0 |          1 |          7 |
| d:\ttlab\qr-code-backend\src\modules\user\user.module.ts                            | TypeScript         |         18 |          0 |          2 |         20 |
| d:\ttlab\qr-code-backend\src\modules\user\user.repository.ts                        | TypeScript         |         98 |          0 |         11 |        109 |
| d:\ttlab\qr-code-backend\src\plugins\debug\index.ts                                 | TypeScript         |         15 |          0 |          2 |         17 |
| d:\ttlab\qr-code-backend\src\plugins\index.ts                                       | TypeScript         |          4 |          0 |          1 |          5 |
| d:\ttlab\qr-code-backend\src\plugins\joi\index.ts                                   | TypeScript         |         21 |          0 |          7 |         28 |
| d:\ttlab\qr-code-backend\src\plugins\lodash\index.ts                                | TypeScript         |         18 |          0 |          3 |         21 |
| d:\ttlab\qr-code-backend\src\plugins\moment\index.ts                                | TypeScript         |        106 |        100 |         23 |        229 |
| d:\ttlab\qr-code-backend\tsconfig-paths-bootstrap.js                                | JavaScript         |          6 |          1 |          1 |          8 |
| d:\ttlab\qr-code-backend\tsconfig.build.json                                        | JSON               |         11 |          2 |          0 |         13 |
| d:\ttlab\qr-code-backend\tsconfig.json                                              | JSON with Comments |         18 |         67 |          0 |         85 |
| Total                                                                               |                    |      9,335 |        812 |      1,344 |     11,491 |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
